revision,value
787278,111807550.0
787312,111759655.0
787354,111950821.0
787395,111953003.0
787434,111328675.0
787455,110917214.0
787481,111767631.0
787491,111813580.0
787494,110902332.0
787521,112240864.0
787524,113111294.0
787530,111770044.0
787533,111739940.0
787550,112050812.0
787552,108022893.0
787556,111791137.0
787561,111448947.0
787563,110534394.0
787565,111570353.0
787568,112194709.0
787571,107184865.0
787574,112011276.0
787576,111335858.0
787577,112425074.0
787582,111717012.0
787586,111853226.0
787591,111435279.0
787594,107073238.0
787599,112158075.0
787601,110724543.0
787607,111461062.0
787613,111609229.0
787619,110890954.0
787632,111691067.0
787640,111502253.0
787659,111293733.0
787671,111879082.0
787691,111621616.0
787703,112161938.0
787717,112889781.0
787728,112064245.0
787755,112018752.0
787792,112061489.0
787835,112231640.0
787889,111548336.0
787914,111511775.0
787962,112103187.0
788011,112701656.0
788044,111588509.0
788059,112760030.0
788067,111845277.0
788082,112805627.0
788084,111088580.0
788093,112094447.0
788177,111051076.0
788209,111408080.0
788258,111490240.0
788294,111902371.0
788340,111918987.0
788384,112411054.0
788416,113334250.0
788447,112871180.0
788477,112443591.0
788498,107316637.0
788517,111854039.0
788524,112379772.0
788557,112391020.0
788565,111491206.0
788577,111677102.0
788602,112112077.0
788639,111833565.0
788663,113082437.0
788701,112018258.0
788713,111827412.0
788748,111939569.0
788793,111876005.0
788828,112049834.0
788863,111555554.0
788872,112562921.0
788905,112103965.0
788909,112323664.0
788920,111607551.0
788951,112209924.0
788989,111758765.0
789022,111692981.0
789047,111230530.0
789066,111992654.0
789102,112297956.0
789140,113159557.0
789174,111879646.0
789205,110920130.0
789235,112078332.0
789241,111290522.0
789289,112565678.0
789322,112797810.0
789365,112098541.0
789393,111812711.0
789406,111393541.0
789422,107441449.0
789442,111962152.0
789446,112216551.0
789482,112465447.0
789512,112139004.0
789541,112877471.0
789577,111452039.0
789614,111355967.0
789647,112551911.0
789672,112010866.0
789702,112116901.0
789741,112747647.0
789745,111617402.0
789749,111996386.0
789765,111879501.0
789772,112118530.0
789773,111952910.0
789774,111287635.0
789775,107720354.0
789794,113137225.0
789798,111533930.0
789804,111732455.0
789805,111584925.0
789817,112299382.0
789829,107623543.0
789861,112297883.0
789882,113033204.0
789937,112646123.0
789949,113077504.0
789981,113456358.0
790019,112178975.0
790043,111435251.0
790078,112371245.0
790112,112325949.0
790139,112690513.0
790170,112692015.0
790185,112305572.0
790239,112372662.0
790279,112306762.0
790299,112549706.0
790333,112402448.0
790346,113331914.0
790390,113854603.0
790415,112447974.0
790443,112956910.0
790467,112237460.0
790502,112224489.0
790533,111612400.0
790810,112382326.0
790831,113550496.0
790853,112155977.0
790864,111985174.0
790904,112000881.0
790950,111659694.0
790986,113717031.0
791029,112808522.0
791070,111698635.0
791092,112170744.0
791129,112113732.0
791147,112533523.0
791161,112185192.0
791180,112913613.0
791198,112476769.0
791213,112061491.0
791233,112204032.0
791244,112059086.0
791269,112596361.0
791278,112528120.0
791295,111926204.0
791296,111910344.0
791297,113249081.0
791298,112335910.0
791299,112435195.0
791300,107640562.0
791301,112910933.0
791302,107850649.0
791303,112177807.0
791304,113424808.0
791305,112482690.0
791308,107351875.0
791315,112298510.0
791335,112132458.0
791351,112661950.0
791369,112828365.0
791388,112190166.0
791403,111997352.0
791423,112949248.0
791439,111701247.0
791454,111644998.0
791472,112187139.0
791487,111347259.0
791503,112384464.0
791526,113007583.0
791545,112207584.0
791559,113212140.0
791579,111766598.0
791609,113120918.0
791610,112170597.0
791630,112130356.0
791635,111931902.0
791637,112286108.0
791641,111986997.0
791642,113033428.0
791646,112625751.0
791649,112151654.0
791654,111920116.0
791655,111773030.0
791667,112585498.0
791669,112326314.0
791677,112483570.0
791681,112428666.0
791701,112344826.0
791708,113349434.0
791718,111993074.0
791725,111922500.0
791747,112175931.0
791757,112898223.0
791775,111539892.0
791798,112100537.0
791820,113484538.0
791821,112719043.0
791829,112480105.0
791831,111908276.0
791873,111745127.0
791922,113772485.0
791964,112404892.0
791994,111979897.0
792039,114037000.0
792085,112573206.0
792119,112090195.0
792151,107826052.0
792197,112786785.0
792201,112206137.0
792219,112818522.0
792236,112420798.0
792268,112011993.0
792301,111700913.0
792346,108764414.0
792367,111557465.0
792387,112631571.0
792423,111989751.0
792431,111502540.0
792468,112063284.0
792507,112410068.0
792540,111179249.0
792583,112077435.0
792612,112886566.0
792639,112322270.0
792660,112163010.0
792683,112452080.0
792709,112628889.0
792740,111740307.0
792770,112695157.0
792787,111642721.0
792796,112335447.0
792825,111927771.0
792855,112462520.0
792893,112687053.0
792934,112278306.0
792972,112280230.0
793018,112347569.0
793059,108697634.0
793103,111911579.0
793143,112492430.0
793175,111788890.0
793213,112240520.0
793257,112466856.0
793308,113188706.0
793347,112071635.0
793399,112617644.0
793450,112249830.0
793475,111132703.0
793499,111545197.0
793510,112185532.0
793525,111417070.0
793534,112313351.0
793557,112394760.0
793564,111804929.0
793585,112037453.0
793609,113781218.0
793640,112521508.0
