revision,value
787312,203451895.0
787354,203493988.0
787395,205380641.0
787434,204199204.0
787455,204340660.0
787481,204326758.0
787491,203233071.0
787494,203444471.0
787521,206651352.0
787524,204990899.0
787530,206325214.0
787533,204539234.0
787550,206437676.0
787552,202338581.0
787556,204567998.0
787561,204282542.0
787563,202361246.0
787565,206595310.0
787568,207679818.0
787571,202056863.0
787574,206313166.0
787576,203621361.0
787577,208324605.0
787582,205096518.0
787586,205932660.0
787591,205100149.0
787594,200614115.0
787599,205028830.0
787601,202495937.0
787607,204573929.0
787613,204356068.0
787619,204297156.0
787632,204486437.0
787640,205321553.0
787659,203436321.0
787671,206060266.0
787691,205402271.0
787703,205069968.0
787717,204980937.0
787728,207283188.0
787755,204824263.0
787792,206430113.0
787835,205698836.0
787889,205240005.0
787914,204864901.0
787962,205740317.0
788011,205913114.0
788044,205974627.0
788059,205644774.0
788067,205801597.0
788082,205647190.0
788084,204821188.0
788093,204736954.0
788131,206490587.0
788177,203335798.0
788209,204869308.0
788258,205047743.0
788294,204629726.0
788340,207367612.0
788384,206941683.0
788416,206116416.0
788447,208985669.0
788477,205998389.0
788498,202189803.0
788517,206160318.0
788524,205946370.0
788557,207441716.0
788565,204545027.0
788577,205631477.0
788602,205454774.0
788639,205178835.0
788663,206067108.0
788701,206713591.0
788713,206623074.0
788748,205595325.0
788793,208105282.0
788828,205906351.0
788863,205524039.0
788872,207203966.0
788905,207748249.0
788909,206170553.0
788920,204882039.0
788951,205522340.0
788989,205069020.0
789022,204835058.0
789047,204100106.0
789066,205684029.0
789102,205670941.0
789140,206785434.0
789174,204985523.0
789205,205166627.0
789235,206321210.0
789241,204136667.0
789289,205820871.0
789322,207240542.0
789365,205112754.0
789393,204997661.0
789406,206445587.0
789422,201789066.0
789442,204616101.0
789446,206601507.0
789482,205226296.0
789512,205483519.0
789541,204666015.0
789577,204100809.0
789614,204295309.0
789647,207792285.0
789672,205535542.0
789702,207757518.0
789741,207296432.0
789745,204433142.0
789749,206190221.0
789765,205013607.0
789772,205504545.0
789773,206302733.0
789774,204718040.0
789775,202819298.0
789794,207012551.0
789798,204776644.0
789804,205882060.0
789805,205788016.0
789817,205837986.0
789829,201727500.0
789861,206350772.0
789882,207247783.0
789937,208055899.0
789949,208655358.0
789981,206041221.0
790019,205835155.0
790043,205245519.0
790078,205946854.0
790112,207385872.0
790139,207034581.0
790170,204710200.0
790185,207422725.0
790239,205865565.0
790279,205175808.0
790299,207065547.0
790333,206018341.0
790346,208467724.0
790390,206915842.0
790415,206181106.0
790443,207331538.0
790467,205211573.0
790502,205369147.0
790533,204495395.0
790810,205709079.0
790831,207549875.0
790853,205835251.0
790864,206067136.0
790904,206764659.0
790950,204856483.0
790986,206432557.0
791029,209517469.0
791070,205241866.0
791092,207547805.0
791129,205585289.0
791147,205642424.0
791161,205947655.0
791180,206830286.0
791198,207233436.0
791213,206764978.0
791233,206567805.0
791244,206704446.0
791269,207323599.0
791278,207389342.0
791295,205883421.0
791296,206026309.0
791297,206167260.0
791298,206692730.0
791299,205925896.0
791300,203665500.0
791301,206263506.0
791302,202352689.0
791303,205603832.0
791304,207247107.0
791305,206886169.0
791308,202219118.0
791315,206767740.0
791335,206284478.0
791351,207997936.0
791369,207815305.0
791388,205926851.0
791403,206030492.0
791423,205779752.0
791439,204048878.0
791454,205013856.0
791472,205651011.0
791487,205119049.0
791503,203973590.0
791526,206148009.0
791545,205884339.0
791559,207082901.0
791579,205759257.0
791609,206319587.0
791610,204961770.0
791630,205265206.0
791635,205265916.0
791637,207285322.0
791641,205633756.0
791642,205605843.0
791646,206365589.0
791649,204905513.0
791654,205642089.0
791655,205357218.0
791667,205297539.0
791669,205320203.0
791677,206510098.0
791681,206544738.0
791701,205561225.0
791708,206568760.0
791718,204829444.0
791725,205398884.0
791747,207038831.0
791757,204929367.0
791775,205678577.0
791798,205307479.0
791820,206909059.0
791821,205322935.0
791829,205838255.0
791831,204522980.0
791873,204498223.0
791922,207208779.0
791964,205724173.0
791994,205884300.0
792039,208516348.0
792085,205788497.0
792119,205503991.0
792151,203470259.0
792197,205243244.0
792201,208158751.0
792219,204640091.0
792236,207240598.0
792268,206399277.0
792301,204205469.0
792346,202181017.0
792367,206698039.0
792387,205697739.0
792423,204652845.0
792431,206417478.0
792468,207282419.0
792507,206543216.0
792540,204512838.0
792583,205794375.0
792612,208288858.0
792639,205117157.0
792660,205130192.0
792683,206337005.0
792709,207820924.0
792740,205382599.0
792770,206670062.0
792787,206096887.0
792796,207219280.0
792825,205758717.0
792855,205566394.0
792893,206379198.0
792934,206584320.0
792972,205984086.0
793018,204956377.0
793059,202017313.0
793103,204712405.0
793143,205560971.0
793175,204799516.0
793213,207045038.0
793257,206852855.0
