revision,value
787312,50767567.0
787354,50733368.0
787395,50422418.0
787434,50455734.0
787455,50116977.0
787481,50460320.0
787491,50064484.0
787494,50537141.0
787521,50703123.0
787524,50623905.0
787530,50789592.0
787533,50705839.0
787550,50743043.0
787552,50747612.0
787556,51092936.0
787561,50690203.0
787563,50182875.0
787565,50417120.0
787568,50683612.0
787571,50809979.0
787574,50703723.0
787576,50393140.0
787577,51203469.0
787582,50891203.0
787586,50908216.0
787591,50537255.0
787594,50694207.0
787599,50498293.0
787601,50253840.0
787607,50852235.0
787613,50694026.0
787619,50542501.0
787632,50713495.0
787640,50708256.0
787659,50440835.0
787671,50751789.0
787691,50427764.0
787703,50905939.0
787717,50748581.0
787728,51051353.0
787755,51135653.0
787792,50838529.0
787835,51038008.0
787889,50418785.0
787914,50571572.0
787962,51403742.0
788011,51196280.0
788044,50753623.0
788059,50509841.0
788067,50685664.0
788082,50655759.0
788084,50464341.0
788093,50966253.0
788131,51036246.0
788177,50339162.0
788209,50994946.0
788258,50808702.0
788294,50893063.0
788340,50642470.0
788384,50748135.0
788416,51029107.0
788447,51246286.0
788477,50786457.0
788498,51084891.0
788517,50546122.0
788524,50987716.0
788557,51104370.0
788565,50735587.0
788577,51075753.0
788602,50962982.0
788639,50521099.0
788663,50895584.0
788701,50763210.0
788713,50860119.0
788748,50815204.0
788793,50707766.0
788828,50736014.0
788863,50707067.0
788872,50805332.0
788905,50753147.0
788909,50743656.0
788920,50904736.0
788951,50252404.0
788989,50632091.0
789022,50805877.0
789047,50599139.0
789066,50875759.0
789102,50915674.0
789140,50672217.0
789174,50695084.0
789205,49942482.0
789235,50239215.0
789241,50454114.0
789289,50991906.0
789322,51025549.0
789365,51280495.0
789393,50969333.0
789406,50472766.0
789422,50846477.0
789442,51399389.0
789446,51293440.0
789482,51180752.0
789512,50733815.0
789541,50760434.0
789577,50636400.0
789614,50722020.0
789647,51069400.0
789672,50968597.0
789702,50676627.0
789741,51500562.0
789745,50828977.0
789749,50631521.0
789765,50587974.0
789772,51066801.0
789773,50944642.0
789774,50609783.0
789775,51698969.0
789794,51550719.0
789798,50780573.0
789804,50702412.0
789805,51032719.0
789817,50416050.0
789829,50565105.0
789861,50972264.0
789882,51154776.0
789937,51611171.0
789949,51303838.0
789981,51059031.0
790019,51124680.0
790043,50840582.0
790078,51142531.0
790112,51553179.0
790139,51443406.0
790170,50939170.0
790185,50721026.0
790239,51187384.0
790279,51036745.0
790299,51142531.0
790333,50797427.0
790346,51718736.0
790390,51082558.0
790415,51407153.0
790443,51315473.0
790467,51428700.0
790502,50848215.0
790533,50843364.0
790810,50673784.0
790831,50962748.0
790853,50816070.0
790864,51337850.0
790904,51060216.0
790950,51202643.0
790986,51158726.0
791029,51311065.0
791070,50701112.0
791092,50976825.0
791129,50970111.0
791147,50977511.0
791161,51158992.0
791180,51647800.0
791198,50910863.0
791213,51240864.0
791233,51179186.0
791244,51099375.0
791269,51107565.0
791278,50782152.0
791295,51014387.0
791296,51132272.0
791297,50974435.0
791298,50859585.0
791299,51121630.0
791300,51335604.0
791301,50975052.0
791302,51394246.0
791303,50797981.0
791304,51467055.0
791305,51340365.0
791308,51256539.0
791315,50935925.0
791335,50736012.0
791351,50989338.0
791369,51218565.0
791388,51080916.0
791403,51437543.0
791423,50970313.0
791439,50816221.0
791454,51193278.0
791472,50791168.0
791487,50649541.0
791503,50517124.0
791526,50995763.0
791545,50827556.0
791559,51250903.0
791579,50832387.0
791609,50805923.0
791610,50840520.0
791630,50947726.0
791635,51322802.0
791637,51054437.0
791641,51295764.0
