revision,value
787278,4300559.0
787312,4282081.0
787354,4291887.0
787395,4307443.0
787434,4303424.0
787455,4286403.0
787481,4338686.0
787491,4293907.0
787494,4317290.0
787521,4313455.0
787524,4309831.0
787530,4303137.0
787533,4299413.0
787550,4292923.0
787552,3884986.0
787556,4286392.0
787561,4282387.0
787563,4293403.0
787565,4304812.0
787568,4321197.0
787571,3888157.0
787574,4306030.0
787576,4310351.0
787577,4312838.0
787582,4292004.0
787586,4329321.0
787591,4299480.0
787594,3895467.0
787599,4318468.0
787601,4278187.0
787607,4270137.0
787613,4308715.0
787619,4272841.0
787632,4299461.0
787640,4279829.0
787659,4307371.0
787671,4283203.0
787691,4281962.0
787703,4288704.0
787717,4316135.0
787728,4298670.0
787755,4292596.0
787792,4303617.0
787835,4303143.0
787889,4282548.0
787914,4300025.0
787962,4293841.0
788011,4278541.0
788044,4331208.0
788059,4324994.0
788067,4285051.0
788082,4315807.0
788084,4301552.0
788093,4307217.0
788177,4288444.0
788209,4295983.0
788258,4299423.0
788294,4284587.0
788340,4280615.0
788384,4307528.0
788416,4324444.0
788447,4301802.0
788477,4316954.0
788498,3878386.0
788517,4312682.0
788524,4304384.0
788557,4308721.0
788565,4296668.0
788577,4290107.0
788602,4310001.0
788639,4298616.0
788663,4295991.0
788701,4287787.0
788713,4297273.0
788748,4295353.0
788793,4305722.0
788828,4308460.0
788863,4312157.0
788872,4295224.0
788905,4325807.0
788909,4302804.0
788920,4286250.0
788951,4287632.0
788989,4285694.0
789022,4284668.0
789047,4276449.0
789066,4289232.0
789102,4311254.0
789140,4298039.0
789174,4292128.0
789205,4279450.0
789235,4299330.0
789241,4296554.0
789289,4291011.0
789322,4322932.0
789365,4289238.0
789393,4297784.0
789406,4302499.0
789422,3872824.0
789442,4282672.0
789446,4286966.0
789482,4306958.0
789512,4296472.0
789541,4301511.0
789577,4268543.0
789614,4286856.0
789647,4272224.0
789672,4290260.0
789702,4311313.0
789741,4284012.0
789745,4284364.0
789749,4307266.0
789765,4301796.0
789772,4276748.0
789773,4331598.0
789774,4290243.0
789775,3872727.0
789794,4277243.0
789798,4280201.0
789804,4295739.0
789805,4306102.0
789817,4277808.0
789829,3871117.0
789861,4286732.0
789882,4298455.0
789937,4279925.0
789949,4290046.0
789981,4318892.0
790019,4311657.0
790043,4290111.0
790078,4341831.0
790112,4350176.0
790139,4359174.0
790170,4296507.0
790185,4325409.0
