revision,value
787312,31708313.0
787354,31871987.0
787395,32210109.0
787434,31806729.0
787455,31584368.0
787481,32046616.0
787491,31897656.0
787494,31594427.0
787521,32210479.0
787524,32318629.0
787530,32037774.0
787533,31634525.0
787550,31870135.0
787552,29748619.0
787556,31361366.0
787561,31689473.0
787563,31290355.0
787565,31925755.0
787568,32119446.0
787571,29100061.0
787574,31781368.0
787576,31721028.0
787577,31765707.0
787582,31662713.0
787586,31814455.0
787591,31767442.0
787594,29270264.0
787599,31976026.0
787601,31447564.0
787607,31479615.0
787613,31682102.0
787619,31391266.0
787632,31742723.0
787640,31573870.0
787659,31992134.0
787671,31698512.0
787691,31920089.0
787703,31845486.0
787717,32386575.0
787728,31786603.0
787755,31299111.0
787792,31818133.0
787835,31766152.0
787889,31798006.0
787914,31845946.0
787962,31477938.0
788011,31878219.0
788044,31855153.0
788059,32641949.0
788067,31957159.0
788082,32198472.0
788084,31641825.0
788093,31818647.0
788131,31976755.0
788177,31377621.0
788209,31373934.0
788258,31542351.0
788294,31615545.0
788340,31969898.0
788384,32148867.0
788416,32534679.0
788447,31983370.0
788477,32331413.0
788498,28971817.0
788517,31863581.0
788524,31997961.0
788557,31811067.0
788565,31757765.0
788577,31115620.0
788602,31662328.0
788639,32195828.0
788663,32133580.0
788701,32028263.0
788713,31719739.0
788748,31992972.0
788793,31816273.0
788828,31765533.0
788863,31649706.0
788872,32006056.0
788905,31874955.0
788909,32106787.0
788920,31348833.0
788951,32220827.0
788989,31832090.0
789022,31658935.0
789047,31637546.0
789066,31933996.0
789102,31907825.0
789140,32574933.0
789174,31771569.0
789205,31666338.0
789235,32261626.0
789241,31679631.0
789289,32193041.0
789322,32060729.0
789365,31500603.0
789393,31733648.0
789406,31749428.0
789422,29065583.0
789442,31439453.0
789446,31575835.0
789482,31640612.0
789512,32024691.0
789541,32150362.0
789577,31585104.0
789614,31502685.0
789647,31789889.0
789672,31747553.0
789702,32286076.0
789741,31843744.0
789745,32015945.0
789749,32096700.0
789765,31893461.0
789772,31803623.0
789773,31821114.0
789774,31249290.0
789775,28656136.0
789794,32090623.0
789798,31541544.0
789804,31785451.0
789805,31323658.0
789817,32139510.0
789829,29542645.0
789861,32007747.0
789882,32061232.0
789937,31885662.0
789949,32139560.0
789981,32564210.0
790019,31945907.0
790043,31376264.0
790078,31848263.0
790112,31527148.0
790139,31675804.0
790170,32131922.0
790185,32363417.0
790239,31627727.0
790279,31620657.0
790299,31552228.0
790333,32047124.0
790346,32060444.0
790390,32562384.0
790415,31923482.0
790443,32281794.0
790467,31636570.0
790502,32000312.0
790533,31731763.0
790810,31746651.0
790831,32629042.0
790853,31908525.0
790864,31453466.0
790904,31663179.0
790950,31470187.0
790986,32445023.0
791029,31978534.0
791070,31890455.0
791092,31992270.0
791129,32092675.0
791147,31969483.0
791161,31821170.0
791180,31966569.0
791198,32082801.0
791213,31633089.0
791233,31711391.0
791244,31747229.0
791269,32081824.0
791278,32330479.0
791295,31483286.0
791296,31615724.0
791297,32627997.0
791298,32183859.0
791299,31752184.0
791300,29047646.0
791301,31986463.0
791302,29057195.0
791303,31893430.0
791304,32148205.0
791305,31417826.0
791308,29132323.0
791315,32049890.0
791335,31996010.0
791351,32226435.0
791369,32225378.0
791388,32054247.0
791403,31277444.0
791423,32291337.0
791439,31617855.0
791454,31520946.0
791472,32079949.0
791487,31623476.0
791503,32164378.0
791526,32148887.0
791545,31837153.0
791559,32034923.0
791579,31797779.0
791609,32560597.0
791610,31992476.0
791630,31759770.0
791635,31546087.0
