revision,value
787278,17519606.0
787312,17948162.0
787354,18055805.0
787395,17753936.0
787434,18172400.0
787455,17399934.0
787481,17667504.0
787491,17821083.0
787494,18067752.0
787521,17571469.0
787524,17492851.0
787530,18359516.0
787533,17825147.0
787550,18694083.0
787552,17261791.0
787556,17679201.0
787561,17874097.0
787563,17871796.0
787565,17822706.0
787568,18116361.0
787571,17890980.0
787574,17523206.0
787576,17462026.0
787577,17880799.0
787582,17054075.0
787586,18299242.0
787591,18012854.0
787594,17517544.0
787599,17072349.0
787601,17189436.0
787607,19063342.0
787613,16646667.0
787619,18313451.0
787632,18403733.0
787640,18896132.0
787659,18454701.0
787671,18052111.0
787691,18287961.0
787703,17918026.0
787717,17845089.0
787728,17818874.0
787755,17743958.0
787792,18560613.0
787835,18039977.0
787889,18369842.0
787914,17360330.0
787962,18358910.0
788011,18261553.0
788044,18536046.0
788059,17563169.0
788067,18541584.0
788082,17453279.0
788084,17973409.0
788093,18740264.0
788131,18436981.0
788177,17774813.0
788209,18194318.0
788258,17509131.0
788294,18277820.0
788340,17820258.0
788384,18525714.0
788416,17214034.0
788447,19230316.0
788477,17579814.0
788498,18042010.0
788517,17835621.0
788524,17814376.0
788557,17978160.0
788565,18672065.0
788577,18313015.0
788602,18448859.0
788639,18157276.0
788663,17937143.0
788701,18384430.0
788713,18789528.0
788748,18646969.0
788793,18100256.0
788828,18782445.0
788863,18799594.0
788872,18516256.0
788905,18696730.0
788909,17544445.0
788920,18102867.0
788951,17193745.0
788989,18559382.0
789022,18444097.0
789047,17481185.0
789066,18482112.0
789102,18246453.0
789140,18061439.0
789174,17453209.0
789205,17414437.0
789235,17864178.0
789241,17616033.0
789289,18299051.0
789322,17891357.0
789365,17914343.0
789393,17207935.0
789406,18240720.0
789422,16571568.0
789442,17404424.0
789446,17730824.0
789482,18270378.0
789512,17675761.0
789541,18418288.0
789577,18444491.0
789614,18306418.0
789647,18771376.0
789672,17727965.0
789702,17309474.0
789741,17814911.0
789745,18830633.0
789749,18258578.0
789765,17715681.0
789772,17410874.0
789773,18650212.0
789774,18104463.0
789775,17515731.0
789794,17491591.0
789798,18251446.0
789804,18002581.0
789805,17697210.0
789817,17742881.0
789829,17414288.0
789861,17259376.0
